"","driver_year","driver","season","total_points","total_points_sprint"
"1","AIT_2020","Jack Aitken",2020,0,0
"2","ALB_2019","Alexander Albon",2019,92,0
"3","ALB_2020","Alexander Albon",2020,105,0
"4","ALB_2022","Alexander Albon",2022,4,0
"5","ALB_2023","Alexander Albon",2023,27,2
"6","ALO_2018","Fernando Alonso",2018,50,0
"7","ALO_2021","Fernando Alonso",2021,81,0
"8","ALO_2022","Fernando Alonso",2022,81,0
"9","ALO_2023","Fernando Alonso",2023,206,8
"10","BOT_2018","Valtteri Bottas",2018,247,0
"11","BOT_2019","Valtteri Bottas",2019,326,0
"12","BOT_2020","Valtteri Bottas",2020,223,0
"13","BOT_2021","Valtteri Bottas",2021,226,7
"14","BOT_2022","Valtteri Bottas",2022,49,2
"15","BOT_2023","Valtteri Bottas",2023,10,0
"16","DEV_2022","Nyck De Vries",2022,2,0
"17","DEV_2023","Nyck De Vries",2023,0,0
"18","ERI_2018","Marcus Ericsson",2018,9,0
"19","FIT_2020","Pietro Fittipaldi",2020,0,0
"20","GAS_2018","Pierre Gasly",2018,29,0
"21","GAS_2019","Pierre Gasly",2019,95,0
"22","GAS_2020","Pierre Gasly",2020,75,0
"23","GAS_2021","Pierre Gasly",2021,110,0
"24","GAS_2022","Pierre Gasly",2022,23,0
"25","GAS_2023","Pierre Gasly",2023,62,8
"26","GIO_2019","Antonio Giovinazzi",2019,14,0
"27","GIO_2020","Antonio Giovinazzi",2020,4,0
"28","GIO_2021","Antonio Giovinazzi",2021,3,0
"29","GRO_2018","Romain Grosjean",2018,37,0
"30","GRO_2019","Romain Grosjean",2019,8,0
"31","GRO_2020","Romain Grosjean",2020,2,0
"32","HAM_2018","Lewis Hamilton",2018,408,0
"33","HAM_2019","Lewis Hamilton",2019,413,0
"34","HAM_2020","Lewis Hamilton",2020,347,0
"35","HAM_2021","Lewis Hamilton",2021,387.5,2
"36","HAM_2022","Lewis Hamilton",2022,240,7
"37","HAM_2023","Lewis Hamilton",2023,234,17
"38","HAR_2018","Brendon Hartley",2018,4,0
"39","HUL_2018","Nico Hulkenberg",2018,69,0
"40","HUL_2019","Nico Hulkenberg",2019,37,0
"41","HUL_2020","Nico Hulkenberg",2020,10,0
"42","HUL_2022","Nico Hulkenberg",2022,0,0
"43","HUL_2023","Nico Hulkenberg",2023,9,3
"44","KUB_2019","Robert Kubica",2019,1,0
"45","KUB_2021","Robert Kubica",2021,0,0
"46","KVY_2019","Daniil Kvyat",2019,37,0
"47","KVY_2020","Daniil Kvyat",2020,32,0
"48","LAT_2020","Nicholas Latifi",2020,0,0
"49","LAT_2021","Nicholas Latifi",2021,7,0
"50","LAT_2022","Nicholas Latifi",2022,2,0
"51","LAW_2023","Liam Lawson",2023,2,0
"52","LEC_2018","Charles Leclerc",2018,39,0
"53","LEC_2019","Charles Leclerc",2019,264,0
"54","LEC_2020","Charles Leclerc",2020,98,0
"55","LEC_2021","Charles Leclerc",2021,159,0
"56","LEC_2022","Charles Leclerc",2022,308,17
"57","LEC_2023","Charles Leclerc",2023,206,21
"58","MAG_2018","Kevin Magnussen",2018,56,0
"59","MAG_2019","Kevin Magnussen",2019,20,0
"60","MAG_2020","Kevin Magnussen",2020,1,0
"61","MAG_2022","Kevin Magnussen",2022,25,4
"62","MAG_2023","Kevin Magnussen",2023,3,0
"63","MAZ_2021","Nikita Mazepin",2021,0,0
"64","MSC_2021","Mick Schumacher",2021,0,0
"65","MSC_2022","Mick Schumacher",2022,12,0
"66","NOR_2019","Lando Norris",2019,49,0
"67","NOR_2020","Lando Norris",2020,97,0
"68","NOR_2021","Lando Norris",2021,160,0
"69","NOR_2022","Lando Norris",2022,122,6
"70","NOR_2023","Lando Norris",2023,205,21
"71","OCO_2018","Esteban Ocon",2018,49,0
"72","OCO_2020","Esteban Ocon",2020,62,0
"73","OCO_2021","Esteban Ocon",2021,74,0
"74","OCO_2022","Esteban Ocon",2022,92,3
"75","OCO_2023","Esteban Ocon",2023,58,2
"76","PER_2018","Sergio Perez",2018,62,0
"77","PER_2019","Sergio Perez",2019,52,0
"78","PER_2020","Sergio Perez",2020,125,0
"79","PER_2021","Sergio Perez",2021,190,0
"80","PER_2022","Sergio Perez",2022,305,14
"81","PER_2023","Sergio Perez",2023,285,25
"82","PIA_2023","Oscar Piastri",2023,97,15
"83","RAI_2018","Kimi Räikkönen",2018,251,0
"84","RAI_2019","Kimi Räikkönen",2019,43,0
"85","RAI_2020","Kimi Räikkönen",2020,4,0
"86","RAI_2021","Kimi Räikkönen",2021,10,0
"87","RIC_2018","Daniel Ricciardo",2018,170,0
"88","RIC_2019","Daniel Ricciardo",2019,54,0
"89","RIC_2020","Daniel Ricciardo",2020,119,0
"90","RIC_2021","Daniel Ricciardo",2021,115,1
"91","RIC_2022","Daniel Ricciardo",2022,37,3
"92","RIC_2023","Daniel Ricciardo",2023,6,0
"93","RUS_2019","George Russell",2019,0,0
"94","RUS_2020","George Russell",2020,3,0
"95","RUS_2021","George Russell",2021,16,0
"96","RUS_2022","George Russell",2022,275,13
"97","RUS_2023","George Russell",2023,175,18
"98","SAI_2018","Carlos Sainz",2018,53,0
"99","SAI_2019","Carlos Sainz",2019,96,0
"100","SAI_2020","Carlos Sainz",2020,105,0
"101","SAI_2021","Carlos Sainz",2021,164.5,1
"102","SAI_2022","Carlos Sainz",2022,246,18
"103","SAI_2023","Carlos Sainz",2023,200,22
"104","SAR_2023","Logan Sargeant",2023,1,0
"105","SIR_2018","Sergey Sirotkin",2018,1,0
"106","STR_2018","Lance Stroll",2018,6,0
"107","STR_2019","Lance Stroll",2019,21,0
"108","STR_2020","Lance Stroll",2020,75,0
"109","STR_2021","Lance Stroll",2021,34,0
"110","STR_2022","Lance Stroll",2022,18,0
"111","STR_2023","Lance Stroll",2023,74,6
"112","TSU_2021","Yuki Tsunoda",2021,32,0
"113","TSU_2022","Yuki Tsunoda",2022,12,0
"114","TSU_2023","Yuki Tsunoda",2023,17,3
"115","VAN_2018","Stoffel Vandoorne",2018,12,0
"116","VER_2018","Max Verstappen",2018,249,0
"117","VER_2019","Max Verstappen",2019,278,0
"118","VER_2020","Max Verstappen",2020,214,0
"119","VER_2021","Max Verstappen",2021,395.5,7
"120","VER_2022","Max Verstappen",2022,454,21
"121","VER_2023","Max Verstappen",2023,575,45
"122","VET_2018","Sebastian Vettel",2018,320,0
"123","VET_2019","Sebastian Vettel",2019,240,0
"124","VET_2020","Sebastian Vettel",2020,33,0
"125","VET_2021","Sebastian Vettel",2021,43,0
"126","VET_2022","Sebastian Vettel",2022,37,0
"127","ZHO_2022","Zhou Guanyu",2022,6,0
"128","ZHO_2023","Zhou Guanyu",2023,6,0
